detector,modality,full_auroc,full_pooled_auroc,leg_auroc,leg_pooled_auroc,delta,pooled_delta
patchcore,CGI,0.501857737464934,0.4993055555555555,0.6786256035319005,0.671780303030303,0.17676786606696648,0.1724747474747475
patchcore,GEI,0.48811435940371484,0.4791666666666667,0.6342484102604043,0.6248737373737374,0.1461340508566895,0.14570707070707073
patchcore,FDEI,0.521428278118683,0.505050505050505,0.6501353344306867,0.6437499999999999,0.12870705631200374,0.13869949494949496
patchcore,HEI,0.5211657782497363,0.5218434343434344,0.5316929696989667,0.5311237373737373,0.010527191449230422,0.009280303030302917
subspace,CGI,0.6053514826003582,0.602209595959596,0.5992499192461711,0.5979166666666667,-0.006101563354187101,-0.004292929292929348
subspace,GEI,0.6059862239210065,0.6023989898989899,0.6290399255916498,0.6287878787878787,0.023053701670643245,0.026388888888888795
subspace,FDEI,0.6141841354547501,0.614330808080808,0.6160956297575488,0.6089015151515151,0.0019114943027986886,-0.005429292929292839
subspace,HEI,0.5316858116895598,0.5381313131313132,0.5336979736904774,0.5345959595959596,0.0020121620009176944,-0.0035353535353536136
