permutation,mean,ci_low,ci_high,pooled_auroc
1,0.5399630791497358,0.47742341897482565,0.602502739324646,0.5378787878787878
2,0.5231421314817116,0.4378304926980945,0.6084537702653288,0.5216540404040404
3,0.5299727009622062,0.458181440609067,0.6017639613153453,0.5270833333333333
4,0.5336061427328295,0.44841688308404826,0.6187954023816107,0.5290404040404041
5,0.5459265933966083,0.4676171770777521,0.6242360097154646,0.540719696969697
6,0.5316929696989667,0.46669466397005244,0.596691275427881,0.5311237373737373
