detector,modality,mean,ci_low,ci_high,pooled_auroc
convae,CGI,0.5765706806936193,0.4188288518108697,0.7343125095763688,0.545959595959596
convae,FDEI,0.5210720751013105,0.3663295064787795,0.6758146437238415,0.509280303030303
convae,GEI,0.5683224696343137,0.39115275704279157,0.7454921822258358,0.5625631313131314
convae,HEI,0.5124316712772485,0.45227022577325837,0.5725931167812387,0.4760101010101011
patchcore,CGI,0.6786256035319005,0.5494164393067099,0.8078347677570911,0.671780303030303
patchcore,FDEI,0.6501353344306867,0.5703473237648946,0.7299233450964788,0.6437499999999999
patchcore,GEI,0.6342484102604043,0.48685215457262404,0.7816446659481846,0.6248737373737374
patchcore,HEI,0.5316929696989667,0.46669466397005244,0.596691275427881,0.5311237373737373
stfpm,CGI,0.5914704049074364,0.42238190037194623,0.7605589094429266,0.5909722222222223
stfpm,FDEI,0.5837155410806084,0.41972931366295396,0.7477017684982629,0.5764520202020201
stfpm,GEI,0.5786358818592702,0.43433038935282836,0.722941374365712,0.5751262626262627
stfpm,HEI,0.5675350199525612,0.44073862140236575,0.6943314185027566,0.5708333333333334
subspace,CGI,0.5992499192461711,0.47196472019243346,0.7265351182999087,0.5979166666666667
subspace,FDEI,0.6160956297575488,0.49690046046808534,0.7352907990470123,0.6089015151515151
subspace,GEI,0.6290399255916498,0.507267284934757,0.7508125662485425,0.6287878787878787
subspace,HEI,0.5336979736904774,0.41855109217969716,0.6488448552012577,0.5345959595959596
